Threshold,Critical_relative_cap,Frontier_package,Stakeholder,Issue,Original_weight,Lower_bound,Adapted_weight,Upper_bound,Stakeholder_package_utility
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food Safety Authorities,A,40.0,31.11111111111086,48.88888888888914,48.88888888888914,67.777777777778
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food Safety Authorities,B,20.0,15.55555555555543,15.55555555555543,24.44444444444457,67.777777777778
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food Safety Authorities,C,10.0,7.777777777777715,7.777777777777715,12.222222222222285,67.777777777778
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food Safety Authorities,D,20.0,15.55555555555543,20.0,24.44444444444457,67.777777777778
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food Safety Authorities,E,10.0,7.777777777777715,7.777777777777715,12.222222222222285,67.777777777778
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food industry,A,30.0,23.333333333333144,23.333333333333144,36.666666666666856,68.88888888888914
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food industry,B,10.0,7.777777777777715,7.777777777777715,12.222222222222285,68.88888888888914
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food industry,C,30.0,23.333333333333144,32.222222222222285,36.666666666666856,68.88888888888914
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food industry,D,10.0,7.777777777777715,12.222222222222285,12.222222222222285,68.88888888888914
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Food industry,E,20.0,15.55555555555543,24.44444444444457,24.44444444444457,68.88888888888914
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Consumers,A,30.0,23.333333333333144,23.333333333333144,36.666666666666856,68.33333333333343
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Consumers,B,20.0,15.55555555555543,15.55555555555543,24.44444444444457,68.33333333333343
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Consumers,C,30.0,23.333333333333144,36.666666666666856,36.666666666666856,68.33333333333343
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Consumers,D,10.0,7.777777777777715,12.222222222222285,12.222222222222285,68.33333333333343
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Consumers,E,10.0,7.777777777777715,12.222222222222285,12.222222222222285,68.33333333333343
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Environmental NGOs,A,20.0,15.55555555555543,15.55555555555543,24.44444444444457,65.00000000000028
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Environmental NGOs,B,40.0,31.11111111111086,48.88888888888914,48.88888888888914,65.00000000000028
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Environmental NGOs,C,15.0,11.666666666666572,15.111111111111143,18.333333333333428,65.00000000000028
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Environmental NGOs,D,0.0,0.0,1.0,1.0,65.00000000000028
65.0,0.22222222222222854,"A4,B5,C4,D1,E1",Environmental NGOs,E,25.0,19.444444444444287,19.444444444444287,30.555555555555713,65.00000000000028
