Deal,Count,Pct,H_vs_N0
"A3,B2,C3,D1,E1,F2",2499,24.992499249924993,0
"A4,B2,C3,D2,E3,F2",1862,18.62186218621862,3
"A3,B2,C3,D2,E1,F3",1614,16.141614161416143,2
"A3,B2,C3,D2,E1,F2",1061,10.611061106110611,1
"A4,B2,C3,D2,E3,F1",908,9.080908090809082,4
"A3,B2,C3,D2,E1,F1",800,8.000800080008002,2
"A3,B2,C3,D1,E1,F1",558,5.5805580558055805,1
"A4,B2,C3,D2,E2,F1",529,5.29052905290529,4
"A4,B2,C3,D2,E1,F2",60,0.6000600060006,2
"A3,B2,C3,D2,E2,F3",37,0.37003700370037007,3
"A3,B2,C3,D2,E5,F3",26,0.26002600260026004,3
"A4,B2,C3,D2,E2,F2",20,0.2000200020002,3
"A3,B2,C3,D2,E3,F3",13,0.13001300130013002,3
"A4,B2,C3,D2,E5,F2",10,0.1000100010001,3
"A4,B2,C3,D2,E5,F1",1,0.010001000100010001,4
"A4,B2,C3,D2,E1,F1",1,0.010001000100010001,3
