Round;A;B;C;D;E;F
12_42_38;3;3;2;2;3;1
12_46_06;2;3;3;1;3;1
12_49_05;2;2;3;1;1;1
12_51_39;2;2;3;1;1;3
12_51_39;2;2;3;1;2;3
12_54_04;3;2;3;1;2;2
12_57_35;2;2;3;1;3;1
13_00_45;3;3;3;1;3;1
13_04_30;3;2;3;1;2;1
13_07_17;3;2;3;1;3;3
13_10_50;3;2;3;1;2;2
13_14_26;3;2;2;2;3;2
13_17_34;3;3;2;2;3;1
13_17_34;4;2;3;2;3;1
13_21_46;3;2;3;1;3;1
13_24_40;3;2;3;1;2;3
13_27_45;2;2;2;1;2;2
13_30_38;3;2;3;1;2;1
13_34_15;2;3;3;2;3;1
13_37_18;3;2;3;1;2;3
13_40_12;4;2;3;1;2;3
13_42_54;2;2;2;1;2;2
13_45_57;3;3;2;2;3;1
13_48_52;3;3;3;6;2;1
13_51_55;3;2;3;6;2;1
13_51_55;3;2;3;1;2;1
13_55_40;4;2;3;1;2;3
13_59_21;3;2;3;1;2;2
14_03_07;3;2;3;1;1;1
14_06_43;3;2;3;1;2;1
14_09_49;3;2;3;1;2;1
14_13_00;3;2;3;1;3;3
14_16_24;3;2;3;6;2;2
14_20_11;3;3;3;2;3;1
14_24_03;3;2;2;1;2;1
14_27_53;2;2;3;2;3;1
14_27_53;3;2;3;2;1;1
14_30_43;3;2;3;1;2;3
14_33_37;4;2;2;1;2;3
