sample_id,Municipalities and Local Governments,Public Health Authorities,Forestry Services and Landowners,Environmental NGOs,General Public and Community Groups
0,60.880691552265,60.880691552265,60.880691552265,60.880691552265,60.880691552265
1,59.157493926536915,59.157493926536915,59.157493926536915,59.157493926536915,59.157493926536915
2,60.52033948405498,60.52033948405498,60.52033948405498,60.52033948405498,60.52033948405498
3,59.04447313797824,59.04447313797824,59.04447313797824,59.04447313797824,59.04447313797824
4,66.88012350470251,66.88012350470251,66.88012350470251,66.88012350470251,66.88012350470251
5,60.95589275409279,60.95589275409279,60.95589275409279,60.95589275409279,60.95589275409279
6,66.88440098795992,66.88440098795992,66.88440098795992,66.88440098795992,66.88440098795992
7,70.06369562194767,70.06369562194767,70.06369562194767,70.06369562194767,70.06369562194767
8,64.32611096903919,64.32611096903919,64.32611096903919,64.32611096903919,64.32611096903919
9,60.1871868425417,60.1871868425417,60.1871868425417,60.1871868425417,60.1871868425417
10,65.98488311193606,65.98488311193606,65.98488311193606,65.98488311193606,65.98488311193606
11,59.52127955993647,59.52127955993647,59.52127955993647,59.52127955993647,59.52127955993647
12,69.10547393311938,69.10547393311938,69.10547393311938,69.10547393311938,69.10547393311938
13,68.47770185911534,68.47770185911534,68.47770185911534,68.47770185911534,68.47770185911534
14,70.29941862929127,70.29941862929127,70.29941862929127,70.29941862929127,70.29941862929127
15,63.49560990583146,63.49560990583146,63.49560990583146,63.49560990583146,63.49560990583146
16,62.968239035088,62.968239035088,62.968239035088,62.968239035088,62.968239035088
17,58.72823610448238,58.72823610448238,58.72823610448238,58.72823610448238,58.72823610448238
18,64.08234890438563,64.08234890438563,64.08234890438563,64.08234890438563,64.08234890438563
19,62.488157249863676,62.488157249863676,62.488157249863676,62.488157249863676,62.488157249863676
20,65.04288396784852,65.04288396784852,65.04288396784852,65.04288396784852,65.04288396784852
21,70.21375317123393,70.21375317123393,70.21375317123393,70.21375317123393,70.21375317123393
22,67.17757101522385,67.17757101522385,67.17757101522385,67.17757101522385,67.17757101522385
23,66.0471186267327,66.0471186267327,66.0471186267327,66.0471186267327,66.0471186267327
24,71.37951604155633,71.37951604155633,71.37951604155633,71.37951604155633,71.37951604155633
25,62.13985092221905,62.13985092221905,62.13985092221905,62.13985092221905,62.13985092221905
26,63.38321847992239,63.38321847992239,63.38321847992239,63.38321847992239,63.38321847992239
27,63.098727090182344,63.098727090182344,63.098727090182344,63.098727090182344,63.098727090182344
28,60.396718177102514,60.396718177102514,60.396718177102514,60.396718177102514,60.396718177102514
29,68.20105700030014,68.20105700030014,68.20105700030014,68.20105700030014,68.20105700030014
