deal,count
"A3,B2,C3,D1,E2,F1",5
"A3,B2,C3,D1,E2,F2",3
"A3,B2,C3,D1,E2,F3",3
"A3,B3,C2,D2,E3,F1",3
"A2,B2,C2,D1,E2,F2",2
"A3,B2,C3,D1,E3,F3",2
"A4,B2,C3,D1,E2,F3",2
"A2,B2,C3,D1,E1,F1",1
"A2,B2,C3,D1,E1,F3",1
"A2,B2,C3,D1,E2,F3",1
"A2,B2,C3,D1,E3,F1",1
"A2,B2,C3,D2,E3,F1",1
"A2,B3,C3,D1,E3,F1",1
"A2,B3,C3,D2,E3,F1",1
"A3,B2,C2,D1,E2,F1",1
"A3,B2,C2,D2,E3,F2",1
"A3,B2,C3,D1,E1,F1",1
"A3,B2,C3,D1,E3,F1",1
"A3,B2,C3,D2,E1,F1",1
"A3,B2,C3,D6,E2,F1",1
"A3,B2,C3,D6,E2,F2",1
"A3,B3,C3,D1,E3,F1",1
"A3,B3,C3,D2,E3,F1",1
"A3,B3,C3,D6,E2,F1",1
"A4,B2,C2,D1,E2,F3",1
"A4,B2,C3,D2,E3,F1",1
