run,rank,role,deals_in_answer,deal
12_42_38,1,primary,1,"A3,B3,C2,D2,E3,F1"
12_46_06,1,primary,1,"A2,B3,C3,D1,E3,F1"
12_49_05,1,primary,1,"A2,B2,C3,D1,E1,F1"
12_51_39,1,primary,2,"A2,B2,C3,D1,E1,F3"
12_51_39,2,fallback,2,"A2,B2,C3,D1,E2,F3"
12_54_04,1,primary,1,"A3,B2,C3,D1,E2,F2"
12_57_35,1,primary,1,"A2,B2,C3,D1,E3,F1"
13_00_45,1,primary,1,"A3,B3,C3,D1,E3,F1"
13_04_30,1,primary,1,"A3,B2,C3,D1,E2,F1"
13_07_17,1,primary,1,"A3,B2,C3,D1,E3,F3"
13_10_50,1,primary,1,"A3,B2,C3,D1,E2,F2"
13_14_26,1,primary,1,"A3,B2,C2,D2,E3,F2"
13_17_34,1,primary,2,"A3,B3,C2,D2,E3,F1"
13_17_34,2,fallback,2,"A4,B2,C3,D2,E3,F1"
13_21_46,1,primary,1,"A3,B2,C3,D1,E3,F1"
13_24_40,1,primary,1,"A3,B2,C3,D1,E2,F3"
13_27_45,1,primary,1,"A2,B2,C2,D1,E2,F2"
13_30_38,1,primary,1,"A3,B2,C3,D1,E2,F1"
13_34_15,1,primary,1,"A2,B3,C3,D2,E3,F1"
13_37_18,1,primary,1,"A3,B2,C3,D1,E2,F3"
13_40_12,1,primary,1,"A4,B2,C3,D1,E2,F3"
13_42_54,1,primary,1,"A2,B2,C2,D1,E2,F2"
13_45_57,1,primary,1,"A3,B3,C2,D2,E3,F1"
13_48_52,1,primary,1,"A3,B3,C3,D6,E2,F1"
13_51_55,1,primary,2,"A3,B2,C3,D6,E2,F1"
13_51_55,2,fallback,2,"A3,B2,C3,D1,E2,F1"
13_55_40,1,primary,1,"A4,B2,C3,D1,E2,F3"
13_59_21,1,primary,1,"A3,B2,C3,D1,E2,F2"
14_03_07,1,primary,1,"A3,B2,C3,D1,E1,F1"
14_06_43,1,primary,1,"A3,B2,C3,D1,E2,F1"
14_09_49,1,primary,1,"A3,B2,C3,D1,E2,F1"
14_13_00,1,primary,1,"A3,B2,C3,D1,E3,F3"
14_16_24,1,primary,1,"A3,B2,C3,D6,E2,F2"
14_20_11,1,primary,1,"A3,B3,C3,D2,E3,F1"
14_24_03,1,primary,1,"A3,B2,C2,D1,E2,F1"
14_27_53,1,primary,2,"A2,B2,C3,D2,E3,F1"
14_27_53,2,fallback,2,"A3,B2,C3,D2,E1,F1"
14_30_43,1,primary,1,"A3,B2,C3,D1,E2,F3"
14_33_37,1,primary,1,"A4,B2,C2,D1,E2,F3"
