party,issue_higher,issue_lower,reversals,pct_of_samples
Environmental NGOs,F,A,4018,40.18
Municipalities and Local Governments,C,B,3796,37.96
Municipalities and Local Governments,D,B,3765,37.65
Environmental NGOs,B,E,3716,37.16
Forestry Services and Landowners,C,F,3044,30.44
Forestry Services and Landowners,E,F,3036,30.36
Forestry Services and Landowners,B,F,3029,30.29
Forestry Services and Landowners,D,F,3028,30.28
Forestry Services and Landowners,A,F,2987,29.87
Environmental NGOs,C,B,2837,28.37
General Public and Community Groups,C,A,1953,19.53
General Public and Community Groups,C,B,1900,19.0
Environmental NGOs,C,E,1883,18.83
General Public and Community Groups,B,E,1041,10.41
General Public and Community Groups,A,E,1036,10.36
General Public and Community Groups,B,F,1035,10.35
General Public and Community Groups,A,F,995,9.95
Municipalities and Local Governments,A,F,207,2.07
Municipalities and Local Governments,B,A,144,1.44
Environmental NGOs,A,C,89,0.89
